"Species.No.","Common.Name","Latin.Name","LATmin","LATmax","LATextent","areaKM2"
817,"shingle oak","Quercus imbricaria",31.0304317551618,42.3175049151145,11.2870731599527,659561.00615116
819,"turkey oak","Quercus laevis",26.3927635162987,36.9772834077655,10.5845198914668,374181.279336925
820,"laurel oak","Quercus laurifolia",25.3896143178403,37.4153061230467,12.0256918052064,515859.411680946
822,"overcup oak","Quercus lyrata",28.6186083449074,41.8438796595105,13.225271314603,913140.015307033
823,"bur oak","Quercus macrocarpa",28.0143888354545,52.7488898582203,24.7345010227658,2473982.42238017
824,"blackjack oak","Quercus marilandica",28.1202729835744,42.7558022012594,14.635529217685,1841387.42140072
825,"swamp chestnut oak","Quercus michauxii",28.7852840525258,40.9546660872224,12.1693820346966,956838.94384186
826,"chinkapin oak","Quercus muehlenbergii",24.7844943552126,44.695533847958,19.9110394927453,1742404.0958047
827,"water oak","Quercus nigra",27.6569399869199,39.4035110548712,11.7465710679512,1050166.68261154
828,"Nuttall oak","Quercus texana",29.496585658673,36.9023131875965,7.40572752892346,270618.54089452
830,"pin oak","Quercus palustris",34.4359969053239,43.7153817775492,9.27938487222532,987797.785724045
831,"willow oak","Quercus phellos",28.8844303803111,40.5776176097787,11.6931872294676,1008236.14180891
832,"chestnut oak","Quercus prinus",31.9599721656532,44.5782621242461,12.6182899585929,797592.514467242
833,"northern red oak","Quercus rubra",30.7560979762916,49.0856435688997,18.329545592608,2925998.27505469
834,"Shumard oak","Quercus shumardii",28.8978905652556,42.3502540841209,13.4523635188653,1480824.52445622
835,"post oak","Quercus stellata",27.6102756922931,41.761348705932,14.1510730136389,2133277.30333663
837,"black oak","Quercus velutina",29.8325369996168,45.4960824303006,15.6635454306839,2299661.43414254
838,"live oak","Quercus virginiana",22.4101353024709,37.4601364939647,15.0500011914938,517856.351179693
840,"dwarf post oak","Quercus margarettiae",26.4163857105216,36.8998985910347,10.4835128805131,394667.458971026
901,"black locust","Robinia pseudoacacia",32.4092786480174,41.1243743533704,8.71509570535299,440054.629967628
921,"peachleaf willow","Salix amygdaloides",30.1233063703694,56.1243939073644,26.001087536995,3393662.86439893
922,"black willow","Salix nigra",25.8450647406413,46.6666599265478,20.8215951859064,3193537.26665241
931,"sassafras","Sassafras albidum",28.5183252083156,44.8769883139522,16.3586631056366,2198896.18454083
935,"American mountain ash","Sorbus americana",34.7881738922338,52.6551166479842,17.8669427557504,1894381.00526696
951,"American basswood","Tilia americana",30.4010244926319,49.9913288394833,19.5903043468514,2563809.68337834
952,"white basswood","Tilia heterophylla",30.4010244926319,43.1597359919768,12.7587114993449,568114.587283565
971,"winged elm","Ulmus alata",27.3627689603424,39.5799946441786,12.2172256838361,1217366.22456133
972,"American elm","Ulmus americana",26.7374518645561,53.8144760519618,27.0770241874057,5464727.63821863
973,"cedar elm","Ulmus crassifolia",25.8450647406413,36.5135133740129,10.6684486333716,434718.06387743
975,"slippery elm","Ulmus rubra",29.580737895646,48.0135552113472,18.4328173157011,3087663.66174693
977,"rock elm","Ulmus thomasii",35.1246822594426,47.7730006890326,12.64831842959,804165.026523413
984,"water elm","Planera aquatica",NA,NA,NA,NA
